"Gene","Module","GS_TB","p_GS_TB","MM","p_MM"
"ENSG00000111371","blue",-0.586864599175426,6.8584247665145e-09,0.968582322997401,4.12723287392088e-50
"ENSG00000172575","blue",-0.524093121175436,4.34450217307123e-07,0.955034392967897,5.36913605753191e-44
"ENSG00000113732","blue",0.623596621476203,3.90331357686638e-10,-0.953304007779374,2.35101003861097e-43
"ENSG00000113263","blue",-0.564112123436123,3.40939183764273e-08,0.952062340822796,6.55613203521621e-43
"ENSG00000158773","blue",0.62827686455712,2.63644978430016e-10,-0.946611946317065,4.37716283457826e-41
"ENSG00000177674","blue",0.633534819365676,1.6831971174553e-10,-0.946515009795081,4.69768797490236e-41
"ENSG00000214212","blue",0.606921535485544,1.50038170496513e-09,-0.942052351357713,1.06209614276387e-39
"ENSG00000213719","blue",0.652513574108474,3.09660730819773e-11,-0.941741343148337,1.30769689872263e-39
"ENSG00000104915","blue",0.606505502922698,1.55010079116964e-09,-0.940927586356151,2.24161182027575e-39
"ENSG00000118922","blue",-0.523811680478393,4.41791443096879e-07,0.940822843228916,2.40129267441208e-39
"ENSG00000257093","blue",-0.476918398590197,5.90437427670989e-06,0.940443562522224,3.07754845423124e-39
"ENSG00000119655","blue",0.690914753024037,6.79190618570396e-13,-0.939388021043589,6.08719297335615e-39
"ENSG00000101160","blue",0.625632015301494,3.29360255592577e-10,-0.938545151820568,1.04028456232513e-38
"ENSG00000116691","blue",0.599615485307409,2.64179330959524e-09,-0.93729813284378,2.26729583874221e-38
"ENSG00000060491","blue",0.57481578594598,1.6279152251428e-08,-0.935206129394921,8.0876190542506e-38
"ENSG00000133030","blue",-0.569199277610925,2.40722445077356e-08,0.934342679392785,1.35029087517462e-37
"ENSG00000164713","blue",0.575096904220962,1.59604366366917e-08,-0.9340412038156,1.61227278769204e-37
"ENSG00000168685","blue",-0.583319379554004,8.87705087217492e-09,0.933285129210882,2.50602339882476e-37
"ENSG00000204264","blue",0.683227300445513,1.52839628402908e-12,-0.932179066946916,4.73356937162945e-37
"ENSG00000169223","blue",0.524685694963355,4.19368890450846e-07,-0.930873305236166,9.89277311819183e-37
"ENSG00000115325","blue",0.552469253014359,7.40001167710201e-08,-0.929996169977376,1.61013827479884e-36
"ENSG00000118508","blue",0.61881756841146,5.78823690553091e-10,-0.929516756893252,2.09569575459297e-36
"ENSG00000131100","blue",0.570064986271698,2.26745046985952e-08,-0.928607744127509,3.43688010675055e-36
"ENSG00000092010","blue",0.662301063028392,1.23315999352924e-11,-0.928143564215805,4.41343291378433e-36
"ENSG00000112159","blue",-0.52698670197932,3.65374134438124e-07,0.927539711551006,6.09516413607131e-36
"ENSG00000134954","blue",-0.683538930001442,1.47967172438965e-12,0.92671285245483,9.44101429079336e-36
"ENSG00000124177","blue",-0.642203705049221,7.88187243004363e-11,0.925716836699868,1.58852002246465e-35
"ENSG00000082512","blue",-0.513868858655135,7.90954935556611e-07,0.924160987784934,3.52982223650115e-35
"ENSG00000234745","blue",0.577885920174527,1.31042686514533e-08,-0.9226010156399,7.72822958250649e-35
"ENSG00000171791","blue",-0.578827167990877,1.22555368064409e-08,0.922077839973311,1.00142949346663e-34
"ENSG00000182670","blue",-0.577090675085897,1.38647159981282e-08,0.921913349966936,1.08602866168357e-34
"ENSG00000169692","blue",0.563555546301199,3.54047167439633e-08,-0.919724165415626,3.14316401395668e-34
"ENSG00000109452","blue",-0.519325403576602,5.75889114577153e-07,0.918898059011542,4.65720962388736e-34
"ENSG00000240065","blue",0.702684616494853,1.86666829089575e-13,-0.918830425479079,4.80867464626169e-34
"ENSG00000127334","blue",-0.513228111140909,8.20687715268533e-07,0.918540174751858,5.51491644588913e-34
"ENSG00000175756","blue",0.493334467827124,2.48810229833963e-06,-0.918493049617915,5.63872188727492e-34
"ENSG00000204386","blue",0.573250755464464,1.81672828386807e-08,-0.917996217240979,7.11998817870083e-34
"ENSG00000137767","blue",0.668480163996563,6.77393728708907e-12,-0.917955340921414,7.25746512001487e-34
"ENSG00000213722","blue",0.561925024898745,3.95263281340956e-08,-0.9176834772297,8.23977633728672e-34
"ENSG00000078687","blue",-0.634083927724095,1.60534736761287e-10,0.916599621352148,1.36092139289757e-33
"ENSG00000088387","blue",-0.648603138875348,4.43202215149533e-11,0.915937713465701,1.84274119939312e-33
"ENSG00000025708","blue",0.682331305451772,1.67724005309959e-12,-0.91566007830162,2.0910022978537e-33
"ENSG00000143515","blue",-0.625899501774037,3.22060707619526e-10,0.9154780404839,2.2711303564798e-33
"ENSG00000111229","blue",0.649895529336284,3.93901718116204e-11,-0.915374648557009,2.38006671656047e-33
"ENSG00000130429","blue",0.498479746924931,1.88009694601422e-06,-0.915133942452334,2.65374073276597e-33
"ENSG00000170989","blue",-0.605026666003967,1.73989039715804e-09,0.913131282255019,6.48309827917693e-33
"ENSG00000094916","blue",-0.628774635458527,2.52770812084498e-10,0.912253498800597,9.52514828072102e-33
"ENSG00000116984","blue",-0.531570014766002,2.76809333170126e-07,0.911782567116377,1.16894776972169e-32
"ENSG00000089775","blue",-0.472773905972865,7.29291253715663e-06,0.911771401949089,1.17461981240962e-32
"ENSG00000127152","blue",-0.666243621477709,8.42796170743548e-12,0.911651144209446,1.23743443748127e-32
"ENSG00000149308","blue",-0.529321005036316,3.17365396957358e-07,0.911635610482554,1.24578273078202e-32
"ENSG00000169228","blue",0.684277793839547,1.37004548240703e-12,-0.909545824918177,3.04412434925811e-32
"ENSG00000167984","blue",-0.564368629294537,3.35054832544537e-08,0.909049630547296,3.7515595902084e-32
"ENSG00000051523","blue",0.498331657382358,1.89544140605615e-06,-0.908077257700335,5.63057442864934e-32
"ENSG00000122694","blue",0.613374721794876,8.99385492012282e-10,-0.907284411484074,7.81434563437234e-32
"ENSG00000148450","blue",0.606369050449503,1.56674804526071e-09,-0.906216224612344,1.20963806179242e-31
"ENSG00000102032","blue",0.491119698601989,2.8031257452488e-06,-0.906214347409899,1.21056168594429e-31
"ENSG00000182568","blue",-0.500318961915119,1.69902342747756e-06,0.90525842167209,1.78191301716687e-31
"ENSG00000103496","blue",0.476909377696662,5.9071069245803e-06,-0.905237071800004,1.79728123645256e-31
"ENSG00000152495","blue",-0.509148684535421,1.03621102943313e-06,0.904430421612739,2.4824655118007e-31
