"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"ENSG00000138496.16|PARP9",1689.24067394863,1.06954791661179,0.168034770707004,1.16366068545146e-11,1.34961366298661e-07,TRUE
"ENSG00000069399.14|BCL3",368.793301283404,1.72972947301212,0.288074685641623,7.62999076986638e-11,4.42463164744552e-07,TRUE
"ENSG00000180549.7|FUT7",349.272925841057,1.39124226586245,0.257032114491674,2.80430157259623e-09,4.64632709128159e-06,TRUE
"ENSG00000189343.7|AC004448.1",247.750711003158,-1.43781688037384,0.290676312954885,3.50862261517356e-08,3.69936409916209e-05,TRUE
"ENSG00000097021.19|ACOT7",232.680337475568,1.15296383735778,0.239844565855514,6.43580037666859e-08,4.7566698333438e-05,TRUE
"ENSG00000171848.14|RRM2",140.587083544795,1.60517382907789,0.334384242621973,5.9128020136306e-08,4.7566698333438e-05,TRUE
"ENSG00000238000.1|AC116347.1",74.06589369862,1.09193803511295,0.230658456347517,8.87194172619642e-08,6.0234914564382e-05,TRUE
"ENSG00000123975.4|CKS2",220.588761754244,1.22564730289778,0.26022642776238,9.91801888770457e-08,6.0541675294525e-05,TRUE
"ENSG00000105281.12|SLC1A5",265.246353902139,1.07452703493443,0.229094787808132,1.21047713474983e-07,6.95107476258147e-05,TRUE
"ENSG00000167900.11|TK1",237.093826738808,1.58297360983465,0.345946629970422,1.76265475514811e-07,8.8883781957425e-05,TRUE
"ENSG00000255733.5|IFNG-AS1",98.2452369945714,-1.60984532936621,0.356399285558223,2.90055337346099e-07,0.000129172996907252,TRUE
"ENSG00000166503.8|HDGFL3",108.076837755733,2.07902953006383,0.478785343272475,4.68681615150308e-07,0.000187440323190113,TRUE
"ENSG00000183134.4|PTGDR2",295.362900038079,1.96462021101848,0.461979660432321,7.21632359694753e-07,0.000261546628366867,TRUE
"ENSG00000134057.14|CCNB1",152.59470012118,1.63428994394331,0.386479688044835,8.61674019709349e-07,0.000293932214134971,TRUE
"ENSG00000197880.8|MDS2",230.916982517011,-1.23133740419761,0.296691626529878,1.50366457432179e-06,0.000471337884675247,TRUE
"ENSG00000092853.13|CLSPN",41.4149542414375,2.00882695131709,0.494456489694826,1.55900644466281e-06,0.000475825177505245,TRUE
"ENSG00000081985.10|IL12RB2",215.485987809394,1.2632042599503,0.321653182657867,3.26531797358716e-06,0.00080502643334325,TRUE
"ENSG00000165949.12|IFI27",106.23916830772,1.88196780756698,0.522773591207611,9.70189051334883e-06,0.00173991015389778,TRUE
"ENSG00000279602.1|AC109326.1",424.844508034674,1.40562964580942,0.398790793426168,1.42062648481657e-05,0.00235377513870037,TRUE
"ENSG00000135114.12|OASL",617.82830908078,1.06875727451811,0.301680288106614,1.54210060926223e-05,0.00250088437498974,TRUE
"ENSG00000196735.11|HLA-DQA1",135.91994016449,1.37360059747623,0.411653278742522,2.77491149115553e-05,0.00374225854353743,TRUE
"ENSG00000244734.3|HBB",927.550056359046,4.34973464324479,1.40443799543889,3.16232123142197e-05,0.00403039578483868,TRUE
"ENSG00000233913.7|RPL10P9",1661.96308311012,1.83333780807766,0.571648122384485,3.88992068493409e-05,0.0046510618663779,TRUE
"ENSG00000230076.1|RPL10P6",190.764419150054,1.23603539542966,0.394524403378624,5.52857474631881e-05,0.00628631469684368,TRUE
"ENSG00000184451.5|CCR10",54.1895285310502,1.03688573985825,0.328842421564607,5.68177317763498e-05,0.00639778692370976,TRUE
"ENSG00000188536.12|HBA2",63.3231296927579,3.39436082287136,1.16727971994895,6.71428070719363e-05,0.00721039144833627,TRUE
"ENSG00000007968.6|E2F2",138.939911156156,1.20312408951539,0.391709176702049,6.9576044942867e-05,0.00740314650685662,TRUE
"ENSG00000088325.15|TPX2",108.257197464211,1.4657349240611,0.49692051012118,9.34089663204729e-05,0.00880778204377923,TRUE
"ENSG00000175779.1|C15orf53",72.494127727265,1.22970507439815,0.421410611264195,0.000108755663180774,0.0095556680422016,TRUE
"ENSG00000176890.15|TYMS",63.5533845332301,1.31267478170617,0.453253197434773,0.000112761831537439,0.0096874942383053,TRUE
