"","GSM3137414","GSM3137423","GSM3137426","GSM3137430","GSM3137432","GSM3137433","GSM3137434","GSM3137439","GSM3137440","GSM3137448","GSM3137449","GSM3137451","GSM3137454","GSM3137456","GSM3137461","GSM3137462","GSM3137465","GSM3137467","GSM3137469","GSM3137473","GSM3137475","GSM3137477","GSM3137479","GSM3137480","GSM3137487","GSM3137489","GSM3137494","GSM3137502","GSM3137503","GSM3137504","GSM3137508","GSM3137512","GSM3137516","GSM3137518","GSM3137519","GSM3137529","GSM3137532","GSM3137536","GSM3137539","GSM3137540","GSM3137542","GSM3137544","GSM3137549","GSM3137550","GSM3137553","GSM3137557","GSM3137558","GSM3137560","GSM3137567","GSM3137568","GSM3137570","GSM3137577","GSM3137579","GSM3137581","GSM3137584","GSM3137585","GSM3137587","GSM3137588","GSM3137590","GSM3137603","GSM3137610","GSM3137613","GSM3137617","GSM3137618","GSM3137623","GSM3137624","GSM3137626","GSM3137635","GSM3137636","GSM3137638","GSM3137641","GSM3137644","GSM3137645","GSM3137646","GSM3137647","GSM3137648","GSM3137651","GSM3137652","GSM3137655","GSM3137657","GSM3137658","GSM3137660"
"ENSG00000000419",6.97759452157199,6.8913344865024,6.67850920205132,6.51918134591805,7.57402138542823,6.51475661884985,7.04785138290659,7.10372216474085,5.63484676124841,7.01045282641121,7.12905124067325,6.72115298800515,6.75531734640381,6.79758112954893,6.93029690682211,7.31017205648926,7.08469215520216,7.19644993329856,6.43843031436433,5.99627367020527,5.73004630979114,6.68022696667567,7.29676076814389,6.74432224879647,7.47588133226602,7.37444793983769,6.78054566741887,7.18994162949277,6.53429972194745,6.84374728647967,6.46721232125411,6.7905827818451,6.84855495107676,7.09143131923354,6.1175445639317,6.3940563997328,7.070310969894,7.00626352306492,6.78733396915331,6.55995676479188,7.409329535934,6.66771195350897,7.10742068003607,7.10825182632865,6.54328229058745,6.74235210258415,6.90769537781585,6.18316325662233,6.84162075734755,6.66812703057217,6.75902472912146,7.58377466436594,6.96260201301486,6.92331264379132,7.05584682961833,6.37501512500515,6.76366860546681,6.45151375751918,6.85167801750435,7.35782875320516,6.88194980992023,6.68374244733876,6.92224162667406,6.5825455340424,7.02457800021669,6.56567777600401,6.11205863471411,6.90640951689241,6.23510384374354,6.82844499102105,7.54606279870312,5.79845813421076,6.55693068890808,6.33312939000056,5.56146173355128,7.41060009435032,8.23019004595758,6.65830731728454,6.94398662274302,6.99862871247653,6.6679916593562,7.09683846513341
"ENSG00000000457",7.73478958791573,7.70947036125856,8.04939212165067,8.01273363349459,8.33559336570166,7.86329807783034,7.70677997098715,7.92085179914395,7.91928782311657,7.70915408410962,7.73478397689774,7.49166618405664,7.78131519783256,7.40362279717112,7.6454155833231,7.55600034821064,7.3595390777475,7.71161376997998,7.46534585106661,7.87989037080078,7.79772859265032,7.86246992899906,7.76855828850525,7.49142437340864,6.68155107013765,7.66562918725635,7.70310805854482,7.71197996204451,7.78651364406922,7.25904801188297,7.23977896245231,7.75529688159051,7.68174832474886,7.81829747954825,7.29114387155187,7.54210731758038,7.91379651001744,7.68474087138443,7.8768993053926,7.66019587899908,7.89544627281564,7.65354250308761,7.66347173642176,8.12632271618182,7.67457100849396,7.24575828940817,7.69036491756113,7.50274657229459,7.98769947968297,7.62674681442922,7.4411797475025,8.21494675164874,7.95205554306511,7.35915947117125,8.03800686021358,7.43559264247811,7.7213160686843,7.52738316010405,7.76442433070248,7.95826735868232,8.07886610916338,7.79077448820323,7.48316332985424,7.78200054958185,8.08892390557159,8.44298095355162,7.47536246960572,7.83818302440881,7.63406730706116,7.40910547780602,7.62820571130393,6.95796551231973,7.38489276979726,7.50358913009715,7.25554150868315,7.84994660440493,8.06717478417696,7.21871669991661,8.17834985853037,7.41456653015564,7.5101058549065,7.69984128637366
"ENSG00000000460",5.9090831753444,4.99325227199367,5.84501484163885,4.74584713157834,4.96683917673811,5.63481806979588,5.78713062533217,5.8538777175727,5.95354152188933,5.81972829919174,5.98145118395127,5.56059348551171,5.68802765709547,5.60980633594098,5.6815427691355,6.51753906692675,5.30255791779524,5.39028647954481,5.60924770263353,5.01465333105376,6.16150916604509,5.60217704877313,5.67694546787588,5.98419180669955,4.00609635154349,5.66310256985927,5.36961262215933,5.74762399005139,5.41062100929521,5.3917434401316,5.61552413205195,5.56104442807562,5.93315210073122,5.63937420974533,5.69442999114628,5.79644657665005,5.75636999488773,5.60850486516547,5.35801753731973,5.30862049067408,5.94991710665438,5.41875903218142,5.70521203443112,5.73600836184195,5.45514912293302,5.01541691460019,5.39204719737789,5.36557443640664,5.70494798346341,4.82480399621404,5.60636833802134,6.03438631459216,5.60536456025638,5.38852165919102,5.25945363406593,4.89666012252025,4.45199447048929,5.891856511166,5.26807000816091,6.20344128993845,5.2916113778688,5.87316902168554,5.57415949633076,5.12076116160633,5.21751774391725,5.65854360096855,6.35533024190618,5.64652791487699,5.43974103827931,5.45941599853913,5.17288247541039,4.95074928647963,5.72707523242122,5.45478063995962,5.19124056881452,5.73932671569864,4.38876388826882,2.99838658906501,5.60710253528787,5.6644563994031,5.20033683319642,5.9000007628648
"ENSG00000000938",13.4905781433135,13.2810047386538,13.671451145373,13.1941310220801,13.4744008651806,13.0109209778514,13.0217687089711,12.4748610671926,13.5115145113079,12.1360832225472,13.4356487327581,12.8815933710623,12.45835952836,12.9523301623655,12.4783204726759,13.1674835318777,12.7981884076035,12.7284714268884,13.0568607869725,13.6323075590579,13.494737128033,13.1415708607462,12.6860348107472,12.8943106465562,13.4907884035527,13.6042576276206,12.8895727269542,12.4420566008991,12.5071748279345,12.4293985931307,13.215578218732,12.793593773358,12.9646679376612,12.8888898629803,13.4417039846751,13.0750889134933,13.4745961349262,13.0067172356734,12.7886731972692,13.1650963482758,12.9112280662683,12.607823485859,13.1105084182013,14.0500287609085,12.7720248516894,12.8283543920245,13.5085529715748,13.517734098047,12.5562765365555,13.7693821969332,12.9074054106111,13.9030151466731,12.7885661137231,13.2718584713104,13.0678241210509,13.3694058682589,13.0259179573719,13.0726216533932,13.0704909286905,12.6705047971895,13.7212403963835,13.7042357826543,13.1210391895312,13.6138292679309,13.6020776152054,13.5854440683937,12.8681345876317,13.147098500548,13.2279010060409,13.331417338214,13.4050548241151,12.9973145122875,13.3983856829119,13.8487378521271,12.7570943256277,13.6391661992052,13.7172873292401,14.0253229380131,13.73670887656,12.1888981085421,13.2434744765405,12.9995384611387
"ENSG00000000971",4.73677902296376,4.78488520262597,4.25759787309543,5.18070989540764,5.11360740551445,4.75464585494951,4.91872906429222,6.38718704033303,5.42375581368673,6.11226417090318,5.87329628799576,4.97111824467143,5.18229872714048,6.22705481991258,5.53327038764055,5.31550982161034,6.05633607760124,4.92448772930733,5.70315545185142,5.59230907179273,5.00856179848299,5.01881132392576,5.14682810049812,5.5623320993193,4.22090991536258,5.7847908636175,5.31582359257952,5.54596127768203,6.42392320687361,5.07100290024651,5.55975297585013,4.52214160570241,6.14160835698787,6.09149044655757,4.84454045546791,6.13691933797048,5.196610597538,4.77022756487204,5.20355623845263,4.8279178701631,5.29144456179813,5.31333337979923,4.74712558452485,5.5298571376491,5.82721139301554,6.2361452105301,4.60730541999329,4.2080056662061,5.35899954983321,4.82480399621404,5.86173143782116,4.50678581461916,5.86230071172306,5.9038452094463,4.7437926347006,5.3332927830655,5.78542296784165,5.21707013123188,4.7269645046886,6.86557771321994,5.44796127468668,4.46552934979105,5.25578225664457,5.60702177757384,4.493993497234,4.46154134585177,4.96979359940563,5.82850641965477,4.81562011097596,5.8676476145691,5.71190568505765,4.76793684330172,4.83429970896325,4.05852071540724,4.67157363199505,4.27883194011262,5.09374866410932,4.30551744143998,5.2266831458887,5.26935638335833,5.20033683319642,5.14383358811834
"ENSG00000001036",7.20455557424843,7.5578074976106,7.51069478282242,7.44597372695557,7.76405970026081,6.98441887356765,7.46478001631692,6.90739286216776,7.2502911369137,6.41763512911767,8.258144739586,7.04585661480142,7.12365345655486,7.08766370051249,7.41005640264355,7.47433618027879,7.42214081432718,7.55148858503527,7.12188868229051,7.05587945539192,7.68797423637593,7.24026000034286,6.58894954296074,6.71124297609514,8.31397978420838,7.53590966260535,7.31142612534963,6.88981133893673,7.36262605994084,7.21649972472253,7.29077406802232,6.74724992492652,7.35265869292195,7.25465928903823,6.5315921391595,7.20442825672911,6.94408089083067,7.414421167395,6.50869672342391,7.71165444982911,7.3453965146326,7.46468485723862,7.47371243089766,6.67611150544362,7.40826131826138,7.22056974670051,7.54171454476296,7.80803441930825,7.14376232474233,7.47314307814239,7.45293290370109,7.87186288669446,7.18399721402485,7.23296106266635,7.66382429340751,8.19420840342246,7.0383407022431,6.24013362406755,7.32949037847866,7.29791141729987,7.62940309125963,7.56409919860642,7.9062254096196,7.59407239467292,6.92864526513396,7.58782740458809,7.29138072976705,7.14401179249576,6.95202922296181,7.05937933216055,7.92386423671521,7.86678654362121,7.44746284375619,6.82743867328576,6.98853514776347,8.4235139205558,8.02336552415697,8.599664096393,7.44045888760835,6.72431546589847,7.13852017068448,7.80881944558253
"ENSG00000001084",7.14503047174522,7.14606857230304,6.71735439593677,7.57414665519833,6.73842354944398,7.20240376425881,7.5217106784135,7.36095854753937,6.93809293854737,7.60486108117256,7.37361262628171,7.344465021381,7.24566921470135,7.56443674449238,7.36797612311935,7.60404244623657,7.62922857533347,7.32951517257119,7.28914192351927,6.86036856667402,6.86948461991644,7.25868192781551,7.47180677948622,7.30514490732216,6.36094493564301,7.10358734482647,7.36344622427129,7.8031663854833,7.60457507813019,7.42513667006915,7.16883701906875,7.53819390750312,7.43836670817873,7.52746278803153,6.96578323766622,7.213914420278,6.94408089083067,7.20104564795056,7.16817783704243,7.06247325214507,7.23502082211976,7.24718957077871,7.11557985633401,7.55813225938902,7.3939175836228,7.11514372630128,7.24201588395955,6.99577066554543,7.78122654042967,6.57001734643643,7.63929850995489,7.82042290759037,7.61492530906211,7.38575828519424,7.51065212891065,6.9203063212474,7.0793988202761,7.00841751840283,6.98688245007059,7.40969647843891,6.84160881331388,7.41958119769281,6.92902302994981,6.89092432101687,6.44630281053652,6.97971640793346,6.53282998283582,7.10127672439335,6.84986170129049,6.79218452170949,7.30085303303683,7.33862695990198,6.96717891639983,6.89769539054876,7.94016254259489,7.00028924783656,6.23347421037586,6.65830731728454,6.89505106340751,7.45749759575311,7.59673411056506,7.41257666129065
"ENSG00000001167",8.47965597007469,8.39880791868266,8.34505229625232,8.32216862012365,8.09889317138588,8.46078333427016,8.42570741123917,8.65262599187153,8.26555438019018,8.41377818636817,8.46007261117348,8.55581894557982,8.51135194746414,8.29770839779677,8.48086005617594,8.64337218202082,8.19254465903077,8.74429092802233,8.63773400798932,8.53136108881309,7.97308040360579,8.44337166979518,8.18478667877901,8.81635404953951,7.44252877422198,8.75844930616903,8.36924339267611,8.62543969047153,8.09830595557481,8.46421918301809,8.38744190364624,8.29788952446589,8.66216647085024,8.41219507556821,8.31095720204592,7.92895153333936,8.8025793988423,7.95821448001198,8.70036871826257,8.79595756854161,8.42184529451001,8.59416137614382,8.23760607103744,9.0454679024698,8.49671508983355,8.0828985641772,7.93748674828914,8.2739463836991,8.49904940474515,8.12977026704246,8.45945798005534,8.51357433347455,8.5328285365268,8.56133466840486,8.59417080583811,7.92482040934428,8.09200011889378,8.06597909673838,8.20841537590996,8.30978406149893,8.68205166223362,7.90367046781996,8.06499354840467,7.74076041368328,8.2558345721183,8.28111855897237,8.09155191763342,8.12456636867141,7.88275408125088,8.54552692268938,7.75547272846118,7.6636524975987,7.94315387256455,8.012847965122,8.30374768150011,8.11785659029527,7.12670866302468,7.82229325036269,7.82614469141209,8.30486004220456,8.54652827192668,8.01389334184639
"ENSG00000001460",5.20298166120921,5.04036950406477,4.93387571938772,5.64334518355796,5.11360740551445,5.69483537325597,4.86145624869262,5.64951250910069,5.30438256929733,5.92420471780323,4.99641533256264,5.20852718663119,5.65238688330278,5.69360214746546,5.45260441796681,5.2851514416872,5.32750268388898,5.17805135127294,5.32160271627838,4.47737753193601,5.61918256756524,5.37757507842125,5.14682810049812,5.16808796439662,5.01225032105535,5.38144800125167,5.34298899513444,5.25621326684059,5.65857498721368,6.0359363578961,5.27571074886634,6.13881485742241,5.00376100182058,5.61367042045938,5.84349963878826,5.19170624680846,5.196610597538,5.54794600835036,5.73708211248137,5.53563321976955,5.39341086527276,5.62958158376704,4.49167427939073,5.36077189099936,5.78304726478922,6.10332099902788,5.17970450129,5.32899552727724,5.33245525713242,5.45107789208463,5.44620802388898,4.28864908237708,5.50778600925518,4.97634312032144,5.25945363406593,3.71171188050935,6.21643896801686,5.49638400875713,5.35955699820597,5.38348967302033,5.48436320023789,5.2258232271723,5.5013322755578,4.87218924427568,5.21751774391725,5.4462527784453,6.07059993348094,5.34866742684111,5.48053751060216,5.41097512249482,4.88825882596748,4.95074928647963,5.1860345025018,5.15480710480193,5.97733925375932,5.02210248150497,2.99838658906501,5.90327638847564,4.60000145735701,5.6209168591983,5.16904835553568,5.53522455386986
"ENSG00000001461",8.35418191068991,8.19867200002607,8.07441888164577,8.29540156915468,7.90366794881646,8.7187454499105,8.4752577707459,9.01409527979186,8.78172703444131,9.19784609131901,8.27391868563979,8.88660777335392,8.93150545502756,8.85412396105535,8.81374012513147,8.0820440643646,8.68713493881838,8.18277085929829,8.71671539342827,8.32006832515973,8.67718935379066,8.30429991041808,8.47483999450581,8.73275067243322,8.359300383614,8.11480097533935,8.64045915428981,9.10336554352071,8.7862866334708,8.85580840155824,8.76567650082808,8.6478047842242,8.80589223424604,8.52733010977591,8.56632255374853,8.66121618757003,8.5625410232899,8.6434078994589,9.03257726573065,8.42368360489448,8.7644861293497,8.50764040523277,8.36934168422904,8.14659101381423,8.89262330854746,8.76033278370424,8.27350016275017,8.17331040620063,8.92566820027336,8.25432936734865,8.63967059832371,7.96953612315134,8.76938276560877,8.2251209158296,8.37179753110318,8.15435090756795,8.59378642244705,8.82529533668201,8.54731501335073,8.86980352704202,8.47004937295086,8.00835245749434,8.25713863296428,8.72307321797076,8.0209840057074,8.51976973492978,8.74289634734086,8.37053740950575,8.43319046285214,8.61432759158289,7.82675724985669,8.71058848394437,8.16391269623209,8.37362782730817,8.54824897074352,7.64698716091646,7.61458638353355,7.51359835860922,7.8086902544406,9.29924552704355,8.55231253766391,8.73045795897624
